latitude,longitude,elevation,slope_angle,label
23.789749,93.035667,523.0,16.42,1
27.154889,88.493194,1104.0,38.53,1
25.21112,92.999782,310.0,11.16,1
25.87416938336412,95.04800289717063,2236.0,25.0,0
23.442118,92.868912,794.0,23.23,1
23.710517,93.058403,1071.0,40.69,1
25.6592756110367,91.78100558242204,969.0,3.34,0
22.84553,92.79944,1299.0,2.68,1
24.23782,92.612062,185.0,14.27,1
28.43255080397392,94.943384328276,1021.0,8.79,0
26.00561866077803,94.10887737105546,408.0,12.98,0
24.53080220747538,92.25004449741756,25.0,4.91,0
23.71138889,92.72444444,924.0,26.95,1
27.370861,88.683167,2720.0,33.78,1
25.77601111,94.03071389,581.0,26.92,1
23.53944444,92.65888889,552.0,15.11,1
25.94291952374396,91.65789062071164,453.0,18.05,0
26.36080722195623,93.8403402969708,145.0,2.85,0
23.20960722,93.13104722,911.0,17.3,1
25.00432539359104,93.88519277138332,1066.0,10.52,0
24.309861,94.234639,534.0,17.86,1
27.70510472878508,91.61132101114038,3923.0,21.66,0
23.6935,92.570306,960.0,16.01,1
25.822962770525194,93.87858496867108,698.0,22.03,0
25.549219786708303,94.04793426309126,2657.0,15.03,0
23.4807,92.7025,997.0,24.87,1
27.083160803961253,95.87473037487688,910.0,36.98,0
24.935611,93.654444,472.0,25.09,1
25.451606810320865,93.91664576841912,1842.0,27.31,0
23.98693405381344,94.12010914087222,516.0,17.15,0
26.991078639055285,88.41341040512539,408.0,29.84,0
25.265492,94.098872,1202.0,18.29,1
25.301781796977824,90.81233657053438,591.0,30.43,0
22.77655192949201,92.76111829494,403.0,23.7,0
25.593778,94.822389,1381.0,35.75,1
22.006819995706383,92.50916702874706,437.0,36.49,0
24.09109,92.795724,923.0,20.11,1
24.64175,93.623222,518.0,20.0,1
24.414992,92.241894,61.0,4.74,1
28.06412065509868,94.46184098784676,872.0,27.48,0
26.16032911666604,94.7267048939192,2142.0,10.85,0
24.268528,94.103861,1269.0,49.17,1
27.046063990906337,88.60258121873768,1325.0,36.8,0
27.206611,88.442814,1315.0,38.66,1
23.61972222,92.72527778,818.0,24.34,1
24.544361,93.674917,1052.0,35.64,1
23.50651919460667,93.41956747660974,1239.0,43.26,0
25.42340079020552,93.93573990451712,1482.0,21.72,0
25.137,93.04,639.0,13.18,1
27.388488633491,88.06890831626289,3200.0,33.19,0
25.853019915344976,93.8694900483884,163.0,0.46,0
27.315028,88.558611,1233.0,26.03,1
25.019139,94.332472,1422.0,21.06,1
26.027539424967355,92.5913089237298,98.0,30.76,0
25.075567,92.363317,168.0,28.12,1
27.270056,88.430139,479.0,34.99,1
26.069722,94.223444,1048.0,29.37,1
25.490961,92.070397,1233.0,18.04,1
27.429556,88.611667,1525.0,29.36,1
26.94184053449688,92.55243663633564,128.0,0.46,0
28.101031,95.282364,188.0,25.61,1
26.16297,91.7059,203.0,5.57,1
27.065789434691904,88.65628613381502,1766.0,19.54,0
25.380940539249465,92.89989624743248,442.0,25.93,0
25.679981175327782,93.4515708030748,265.0,6.09,0
27.083117,93.601735,240.0,14.06,1
22.882607,92.837952,609.0,32.44,1
24.416167,94.176167,1330.0,12.93,1
25.314371217518005,92.44168154780172,996.0,3.52,0
24.37,92.81,224.0,20.84,1
23.618316,93.342403,1522.0,31.65,1
25.23435214495209,92.74171687917584,1176.0,13.81,0
23.299407,92.696714,361.0,27.99,1
26.2748936506235,92.30848635038672,62.0,1.06,0
22.53113351010163,93.1448172908904,687.0,31.01,0
26.227500176295216,94.348906389602,652.0,18.82,0
28.87635937412684,95.004971932161,2065.0,26.75,0
27.242917,88.354417,1610.0,38.39,1
28.28203611161517,95.43936218248676,1150.0,36.27,0
27.22920631462664,88.87414320040325,2922.0,17.48,0
24.0,93.99,1097.0,14.64,1
25.233583169254665,93.92528215682243,1789.0,18.31,0
23.853333,93.12458,300.0,35.3,1
25.55860286476669,93.52373534635164,305.0,6.92,0
23.134961,92.747843,851.0,31.93,1
23.305323,92.852358,1070.0,30.81,1
26.43689391886413,93.97954436732968,108.0,3.88,0
25.80344,94.399158,1803.0,26.56,1
26.109167,94.116167,659.0,40.93,1
26.037672,94.572023,1073.0,11.44,1
25.760111,94.366528,1715.0,32.04,1
23.688389,92.595583,1122.0,25.6,1
25.667,94.094,1328.0,10.77,1
25.758944,94.078028,1189.0,25.62,1
23.336389,93.074722,1140.0,34.02,1
23.1057,93.20275278,1154.0,19.78,1
27.686389,88.73875,2658.0,35.65,1
25.15398187,93.02361022,611.0,19.29,1
25.85442778,94.15844444,1532.0,31.76,1
26.985025577149337,93.71821262293264,102.0,4.06,0
23.461111,93.320472,1324.0,16.04,1
27.837612776239983,91.914710742872,4817.0,5.39,0
28.92359997163988,95.70384120640595,2319.0,32.45,0
23.26125,93.337222,1358.0,34.0,1
28.374471382053216,95.53352360763049,1920.0,46.14,0
24.401865707210227,93.21177560623012,154.0,9.54,0
23.805927687741228,91.45433473209724,55.0,5.63,0
25.36153137193753,94.69051788686927,1782.0,25.87,0
24.804167,93.471667,544.0,13.43,1
27.093278,88.457444,302.0,25.1,1
26.921503453066343,93.67783480334664,81.0,1.83,0
26.943433,95.385986,511.0,19.58,1
23.7885,93.024666,515.0,20.33,1
25.98760861490206,91.35312038129172,315.0,22.81,0
23.744028,92.698861,907.0,34.56,1
23.46025,93.01125,1441.0,40.32,1
23.62783838284804,92.16424015776948,142.0,1.48,0
24.55205833,93.25569167,235.0,4.95,1
24.51950468712859,94.03088653557344,842.0,9.86,0
25.037175245227942,93.34825438321612,362.0,34.88,0
28.118474309709995,96.33671439518942,1767.0,36.67,0
23.1617312239902,93.42551157458487,1106.0,27.91,0
23.9703338610689,92.5849008760903,528.0,37.27,0
24.97081509109548,94.31092993381526,926.0,9.66,0
23.151191,92.747211,897.0,19.47,1
25.081295549846047,92.16932450310397,36.0,4.19,0
23.00636736502991,92.35285670619444,44.0,3.48,0
27.540315638781568,93.81488848864473,1569.0,1.14,0
26.17108374173181,93.94071626161558,117.0,2.49,0
26.952846719529965,93.37768086516232,164.0,21.52,0
24.099117,92.916676,809.0,30.87,1
23.456613,93.006652,1411.0,32.82,1
26.13153953414428,92.38024177333932,133.0,18.18,0
25.21061598906953,92.45353197969789,570.0,7.5,0
26.173917,95.025556,873.0,23.27,1
27.613444,88.656528,1759.0,29.93,1
22.381001,92.978996,708.0,31.44,1
23.54555556,92.72111111,808.0,20.33,1
26.899347986588754,92.54046591234923,118.0,2.43,0
28.409419103254905,96.02805116915432,1890.0,38.19,0
23.35040882279481,92.57039466175604,522.0,7.37,0
28.25721807016361,95.67750126649416,279.0,18.88,0
24.48982222200067,94.38411931091646,274.0,28.26,0
23.66030556,92.67244444,1016.0,14.03,1
26.428,94.668611,1317.0,16.2,1
23.695444,92.861667,936.0,32.12,1
24.983806,93.497528,1156.0,13.18,1
26.117111,92.441028,184.0,20.45,1
25.22122760616063,94.70583580968344,1616.0,26.84,0
25.37312128975101,91.33489482670356,1479.0,5.92,0
25.22070956975064,92.9116245098461,785.0,6.57,0
22.916008,92.927841,439.0,22.58,1
24.42557586220809,93.69484806179888,870.0,19.27,0
25.669,94.051,1402.0,40.88,1
23.200475,92.735007,749.0,16.94,1
26.95129686075131,88.52820461350547,468.0,6.61,0
23.084343,92.898597,767.0,28.46,1
25.529,93.87,1596.0,41.54,1
23.720417,92.695667,911.0,29.49,1
23.53027778,92.69666667,832.0,31.53,1
23.586826653678543,92.00682049682464,115.0,4.09,0
25.205307,91.755686,439.0,33.18,1
26.195306,91.765639,85.0,7.01,1
27.48123095179095,88.37565575090946,3149.0,29.07,0
25.52659428034715,92.65662639628952,784.0,3.27,0
23.0287672691251,92.42745254754666,389.0,30.06,0
23.038630904845377,92.45462626809552,232.0,15.44,0
25.536,94.236,1737.0,24.93,1
25.3331009562684,94.60326937026711,1843.0,13.27,0
24.477126,92.205369,32.0,5.92,1
28.259524,95.780336,661.0,44.04,1
